,student_id,age,gender,country,major,university_year,GPA,study_hours_per_day,class_attendance_percent,sleep_hours,screen_time_hours,social_media_hours,gaming_hours,exercise_hours_per_week,part_time_job,relationship_status,family_income_level,internet_quality,mental_stress_level,AI_tool_usage_hours,favorite_AI_tool,note_taking_method,exam_preparation_days,coffee_consumption_per_day,extracurricular_hours_per_week,final_exam_score,assignment_score
0,S00001,23,Female,Germany,Law,4,3.81,4.2,96,6.2,3.9,3.3,0.0,2.1,Yes,Single,High,Average,4.8,1.5,Claude,Digital,15,3,7.6,100,100
1,S00002,26,Female,USA,Economics,2,3.46,3.3,94,6.6,4.9,3.2,2.7,5.0,No,Single,Low,Average,3.9,2.3,Gemini,Mixed,11,3,5.2,100,83
2,S00003,18,Female,Canada,Medicine,3,4.0,4.5,100,6.3,3.7,1.4,0.0,2.6,Yes,In a Relationship,High,Average,4.8,0.0,None,Mixed,12,3,4.6,100,100
3,S00004,20,Male,Australia,Physics,4,3.77,5.8,97,7.1,6.9,3.7,2.1,3.2,No,Single,High,Good,5.9,2.9,Gemini,Mixed,11,1,4.0,100,98
4,S00005,28,Female,Australia,Medicine,2,4.0,3.1,96,8.4,4.8,0.6,0.0,4.4,Yes,In a Relationship,Middle,Good,3.1,1.5,ChatGPT,Handwritten,15,4,1.4,100,94
5,S00006,18,Male,France,Medicine,2,4.0,3.1,96,6.1,5.6,1.8,3.9,2.9,No,In a Relationship,Low,Good,5.0,1.3,Claude,Digital,13,3,1.7,96,94
6,S00007,27,Male,Netherlands,Economics,1,4.0,5.9,100,8.2,1.6,0.0,0.5,0.0,Yes,In a Relationship,Low,Good,2.9,0.2,None,Handwritten,22,2,3.8,100,97
7,S00008,19,Male,Netherlands,Law,1,3.5,4.7,89,6.1,7.7,5.1,1.7,5.1,No,Single,High,Good,5.0,0.6,Claude,Digital,10,0,0.0,100,93
8,S00009,20,Male,Japan,Biology,3,3.72,2.8,90,6.0,5.6,2.5,2.7,5.5,No,Single,High,Average,5.3,0.8,Claude,Mixed,21,0,4.7,100,100
9,S00010,21,Female,Japan,Economics,2,3.47,4.3,100,8.0,8.8,6.1,0.1,0.0,No,Single,Low,Good,6.2,0.0,None,Handwritten,3,1,4.1,92,99
10,S00011,26,Female,Brazil,Biology,2,3.24,2.8,80,8.1,6.7,4.0,1.6,0.9,No,Single,Middle,Good,4.3,0.9,Claude,Mixed,14,3,4.2,100,81
11,S00012,25,Female,Italy,Economics,3,3.57,2.8,73,8.0,4.4,3.5,1.1,7.0,No,In a Relationship,Middle,Good,3.2,0.3,Copilot,Handwritten,4,3,5.3,92,88
12,S00013,24,Female,France,Physics,2,3.51,3.9,100,5.4,3.5,1.9,2.8,3.5,No,Single,Middle,Good,5.2,1.9,Claude,Mixed,7,1,1.2,100,94
13,S00014,26,Female,Australia,Biology,2,2.71,0.6,77,6.4,3.7,1.2,2.8,3.0,Yes,Single,Middle,Poor,4.8,0.0,None,Handwritten,7,2,5.6,74,87
14,S00015,26,Female,USA,Computer Science,4,2.93,0.9,71,8.0,2.9,3.6,2.0,2.1,Yes,Single,Middle,Average,3.4,1.0,Copilot,Mixed,7,1,6.1,92,85
15,S00016,19,Female,USA,Computer Science,3,3.45,2.7,84,7.0,6.5,2.7,0.0,0.9,No,Single,Middle,Average,4.8,0.2,None,Digital,9,2,2.0,100,99
16,S00017,21,Female,Germany,Engineering,2,3.3,2.0,85,5.7,2.2,0.8,0.8,2.6,Yes,Single,High,Average,3.8,1.2,Gemini,Handwritten,23,1,1.5,96,98
17,S00018,24,Male,Brazil,Law,4,4.0,4.0,100,7.5,4.3,0.5,1.4,4.9,Yes,Single,Middle,Good,2.5,3.6,Copilot,Mixed,8,1,5.0,100,100
18,S00019,25,Female,South Korea,Biology,1,2.97,2.1,72,6.1,5.1,1.4,3.1,3.0,No,Single,Middle,Average,5.2,2.9,Claude,Handwritten,4,2,0.3,87,67
19,S00020,21,Female,Netherlands,Business,4,2.6,1.4,74,9.2,7.8,5.5,0.0,4.2,Yes,Single,Low,Average,3.9,0.7,Gemini,Handwritten,14,1,4.2,87,75
20,S00021,24,Male,USA,Medicine,1,3.98,5.7,100,8.9,10.3,6.1,1.2,6.5,No,Single,Middle,Good,3.4,1.0,ChatGPT,Handwritten,13,3,3.0,100,93
